"X","eventLabel","totalEvents"
60,"http://datos.imss.gob.mx/sites/default/files/ABR-2014.csv",4
61,"http://datos.imss.gob.mx/sites/default/files/Base 1er nivel ENSat Julio10 Final.csv",4
62,"http://datos.imss.gob.mx/sites/default/files/Base 2do nivel ENSat Julio10 _Final.csv",3
63,"http://datos.imss.gob.mx/sites/default/files/Base 3er nivel ENSat Julio10 _Final.csv",2
64,"http://datos.imss.gob.mx/sites/default/files/Base Guarderías Mayo 10_Final _portal.csv",2
65,"http://datos.imss.gob.mx/sites/default/files/DIC-2013.csv",10
66,"http://datos.imss.gob.mx/sites/default/files/ENE-2014.csv",12
67,"http://datos.imss.gob.mx/sites/default/files/ENSAT Nacional (3 niveles) Jul10.csv",2
68,"http://datos.imss.gob.mx/sites/default/files/ENSat Nov-Dic 09 1er nivel.csv",7
69,"http://datos.imss.gob.mx/sites/default/files/ENSat Nov-Dic 09 Nacional.csv",8
70,"http://datos.imss.gob.mx/sites/default/files/ENSat Nov-Dic 10 1er Nivel_U.csv",2
71,"http://datos.imss.gob.mx/sites/default/files/ENSat Nov-Dic 10 2do Nivel_U.csv",1
72,"http://datos.imss.gob.mx/sites/default/files/ENSat Septiembre 2012 1er Nivel_Final.csv",4
73,"http://datos.imss.gob.mx/sites/default/files/ENSat Septiembre 2012 2do Nivel_Final.csv",2
74,"http://datos.imss.gob.mx/sites/default/files/ENSat Septiembre 2012 3er Nivel_Final.csv",3
75,"http://datos.imss.gob.mx/sites/default/files/ENSat nov - dic 2010 Nacional_U.csv",2
76,"http://datos.imss.gob.mx/sites/default/files/ENSatNov-Dic092donivel.csv",4
77,"http://datos.imss.gob.mx/sites/default/files/FEB-2014.csv",5
78,"http://datos.imss.gob.mx/sites/default/files/MAR-2014.csv",6
79,"http://datos.imss.gob.mx/sites/default/files/MAY-2014.csv",17
80,"http://datos.imss.gob.mx/sites/default/files/NOV-2013.csv",33
81,"http://datos.imss.gob.mx/sites/default/files/Nov2011_120130_BaseENSat1erNivel.csv",2
82,"http://datos.imss.gob.mx/sites/default/files/Nov2011_120130_BaseENSat_2doNivel.csv",1
83,"http://datos.imss.gob.mx/sites/default/files/Nov2011_120130_BaseENSat_3erNivel.csv",1
84,"http://datos.imss.gob.mx/sites/default/files/Nov2011_120130_BaseENSat_Nacional.csv",2
85,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/11601_MexicoConectado.csv",29
86,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/21001_DGC_Contratos-csv",16
87,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/21001_DGC_Contratos-csv.csv",19
88,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/21101_DGCC_Programa_NacionalC.csv",19
89,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/21102_DGCC_Jurisdiccion_Red_F.csv",34
90,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/21201_DGST_01ZONA1_1_PC_FELICIANO.csv",10
91,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/21201_DGST_02ZONA1_2_JOLUTA.csv",3
92,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/21201_DGST_03ZONA1_3_SAN_JUAN_BOSCO.csv",2
93,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/21201_DGST_04ZONA1_4_PC_SAN_MARTIN.csv",2
94,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/21201_DGST_05ZONA1_5_AMOZOC.csv",2
95,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/21201_DGST_06ZONA1_6_PC_AMOZOC.csv",2
96,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/21201_DGST_07ZONA2_1_MONTECILLOS.csv",1
97,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/21201_DGST_08ZONA2_3_AUTODROMO_AGS.csv",3
98,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/21201_DGST_09ZONA2_4_PUERTA_PALMILLAS.csv",1
99,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/21201_DGST_10ZONA2_5_PC_PALMILLAS.csv",1
100,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/21201_DGST_11ZONA2_6_SAN_SEBASTIAN.csv",2
101,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/21201_DGST_12ZONA3_1_PC_TEPOZTLAN.csv",1
102,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/21201_DGST_13ZONA3_2_PC_TLALPAN.csv",1
103,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/21201_DGST_14ZONA3_3_PC_CHICHEN ITZA.csv",1
104,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/21201_DGST_15ZONA3_4_KAUA.csv",1
105,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/21201_DGST_16ZONA3_5_PC_SEYBAPLAYA.csv",1
106,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/21201_DGST_17ZONA3_6_SEYBAPLAYA.csv",1
107,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/21401_TarifasVigentes.csv",33
108,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/21402_CasetasDeCobro_Ubica.csv",34
109,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/31001_DGAC_01SASE_ABRIL_2014_FLET INT.csv",6
110,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/31001_DGAC_02SASE_ABRIL_2014_FLET NAC.csv",5
111,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/31001_DGAC_03SASE_ABRIL_2014_REG INT.csv",3
112,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/31001_DGAC_04SASE_ABRIL_2014_REG NAC.csv",9
113,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/31101_PEREMPRESA FERROVIARIA.csv",2
114,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/31102_LICPERTIPOLIC.csv",13
115,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/31103_LICPERTIPOLICCAP.csv",1
116,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/31104_LICSOLICITUD.csv",2
117,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/31201_FLOTA_ACTIVA_Mayo.csv",35
118,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/31202_TramitesSPFMayo.csv",4
119,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/31203_eLicenciasVigentes.csv",19
120,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/31301_DGPMP_MEDICINA_PREVENTIVA.csv",3
